Size,Random_Standard,Random_Hybrid,Reverse_Standard,Reverse_Hybrid,Almost_Standard,Almost_Hybrid
500,143,51,130,50,127,22
600,171,66,155,68,149,28
700,201,76,181,64,169,38
800,230,89,205,70,199,48
900,267,105,233,95,224,53
1000,304,134,258,108,247,53
1100,329,154,284,115,271,57
1200,357,154,319,143,301,71
1300,388,170,336,186,438,81
1400,439,177,374,134,351,95
1500,457,214,393,141,377,96
1600,482,282,460,168,578,128
1700,521,226,449,184,436,117
1800,547,243,471,206,455,121
1900,583,257,510,217,484,128
2000,615,270,739,213,506,132
2100,645,288,539,226,535,132
2200,985,307,592,268,561,201
2300,717,324,611,257,829,145
2400,746,339,636,307,623,158
2500,777,357,686,295,650,167
2600,810,530,699,300,671,180
2700,847,385,732,291,701,214
2800,882,397,740,404,737,202
2900,1029,569,791,289,876,228
3000,949,431,825,332,779,235
3100,985,445,822,344,810,242
3200,1017,462,847,354,837,341
3300,1050,486,895,350,871,264
3400,1124,499,941,364,1052,270
3500,1166,515,997,415,946,277
3600,1150,531,968,390,948,256
3700,1191,548,997,448,982,284
3800,1220,570,1053,463,1001,274
3900,1246,583,1045,485,1026,437
4000,1278,597,1095,500,1077,306
4100,1314,864,1106,520,1078,315
4200,1337,637,1128,535,1118,325
4300,1384,655,1177,553,1138,330
4400,1425,670,1188,574,1165,336
4500,1466,697,1234,598,1206,345
4600,1496,712,1300,615,1231,352
4700,1534,729,1291,621,1263,363
4800,1564,746,1370,589,1293,365
4900,1607,802,1367,887,1320,376
5000,1611,782,1361,705,1343,382
5100,1662,804,1435,715,1373,355
5200,1701,785,1444,651,1385,403
5300,1749,828,1472,609,1443,477
5400,1775,843,1494,619,1459,483
5500,1813,864,1527,599,1471,487
5600,1841,875,1557,656,1526,497
5700,1920,893,1611,620,1554,504
5800,1923,913,1613,688,1582,515
5900,1961,932,1652,704,1601,514
6000,1986,945,1710,726,1631,523
6100,2112,966,1755,733,1664,533
6200,2048,951,1726,677,1635,488
6300,2110,999,1790,770,1717,498
6400,2130,1016,1784,773,1738,556
6500,2162,1039,1825,802,1760,526
6600,2225,1033,1892,762,1815,579
6700,2456,1076,1875,842,1834,586
6800,2283,1089,1892,844,1854,647
6900,2308,1113,1975,873,1886,601
7000,2337,1129,1956,912,1908,609
7100,2366,1144,2002,893,1943,616
7200,2410,1161,2013,1081,1957,839
7300,2434,1187,2056,947,2002,632
7400,2472,1197,2126,949,1995,643
7500,2500,1218,2135,979,2053,646
7600,2534,1237,2090,929,2075,601
7700,2566,1251,2137,966,2096,660
7800,2604,1279,2216,1036,2134,671
7900,2634,1292,2212,1005,2133,679
8000,2664,1274,2212,1076,2165,686
8100,2706,1332,2261,1090,2186,640
8200,2739,1349,2270,1154,2201,702
8300,2790,1380,2311,1131,2279,706
8400,2819,1389,2350,1042,2283,675
8500,2868,1410,2394,1177,2343,715
8600,2916,1431,2444,1150,2364,672
8700,2951,1460,2470,1199,2385,736
8800,2989,1465,2537,2070,2428,750
8900,3018,1491,2568,1240,2472,756
9000,3069,1515,2546,1149,2459,702
9100,3098,1508,2575,1280,2570,742
9200,3123,1550,2663,1309,2539,785
9300,3185,1572,2692,1335,2594,793
9400,3207,1588,2658,1342,2593,801
9500,3256,1610,2709,1375,2628,807
9600,3288,1627,2765,1331,2658,813
9700,3270,1652,2780,1422,2709,829
9800,3357,1671,2802,1443,2727,834
9900,3400,1695,2810,1402,2749,847
10000,3409,1702,2907,1483,2769,851
