Size,Random_Standard,Random_Intro,Reverse_Standard,Reverse_Intro,Almost_Standard,Almost_Intro
500,51,38,56,46,55,23
600,66,51,68,36,50,29
700,84,67,78,46,58,40
800,93,79,87,53,75,38
900,104,94,156,51,77,49
1000,116,111,114,70,89,57
1100,138,117,137,82,113,57
1200,148,125,146,139,182,106
1300,158,139,152,88,116,72
1400,176,156,175,100,134,89
1500,184,177,188,113,140,95
1600,207,162,175,104,135,89
1700,204,176,202,109,142,100
1800,228,183,208,122,146,102
1900,222,194,217,134,162,106
2000,245,217,224,130,193,110
2100,258,239,282,166,202,146
2200,303,252,286,166,204,133
2300,308,276,318,171,223,151
2400,319,268,332,183,228,151
2500,324,291,326,185,236,183
2600,350,292,338,216,250,177
2700,370,319,343,238,279,178
2800,394,328,354,221,267,176
2900,414,357,389,210,286,199
3000,436,383,351,239,303,203
3100,410,329,367,223,286,191
3200,403,364,373,234,289,213
3300,424,375,386,238,285,196
3400,427,380,406,249,298,209
3500,445,391,404,259,310,235
3600,462,399,436,276,335,229
3700,492,417,446,303,343,242
3800,502,463,470,273,346,251
3900,497,427,483,456,395,242
4000,525,454,490,302,395,234
4100,527,450,492,325,379,264
4200,542,695,550,341,375,295
4300,552,485,497,303,408,284
4400,559,521,572,341,412,278
4500,595,521,558,363,410,265
4600,613,522,557,343,441,335
4700,686,548,590,355,435,335
4800,668,553,579,354,441,297
4900,941,565,620,373,454,303
5000,725,606,655,418,488,334
5100,712,595,670,416,494,346
5200,725,631,628,401,502,348
5300,711,595,659,417,503,340
5400,726,639,658,398,523,370
5500,733,631,669,407,544,376
5600,754,635,663,419,528,357
5700,767,655,800,436,529,393
5800,757,662,736,427,535,380
5900,784,715,739,456,547,403
6000,798,773,754,401,606,398
6100,847,754,761,454,587,405
6200,811,722,815,546,599,430
6300,868,762,811,481,596,441
6400,851,1130,796,512,633,471
6500,921,785,791,501,656,438
6600,922,818,821,495,635,436
6700,888,864,833,504,688,442
6800,969,806,851,516,687,507
6900,967,828,893,576,682,473
7000,982,830,876,548,661,487
7100,972,877,927,616,675,493
7200,1008,913,901,586,682,498
7300,968,850,917,606,711,478
7400,1065,924,923,624,782,512
7500,1024,902,968,661,721,511
7600,1040,919,968,613,710,554
7700,1095,968,992,600,782,518
7800,1086,956,1014,613,790,550
7900,1121,982,1000,650,759,575
8000,1148,981,997,700,774,531
8100,1231,1063,1028,641,837,566
8200,1116,983,1017,645,837,629
8300,1173,993,942,634,810,595
8400,1169,1019,1056,655,781,604
8500,1208,1041,1097,676,825,636
8600,1212,1035,1099,718,845,624
8700,1237,1090,1133,723,887,641
8800,1238,1087,1118,730,901,645
8900,1234,1063,1090,726,872,641
9000,1266,1088,1171,746,905,671
9100,1370,1169,1092,762,920,650
9200,1310,1117,1208,774,949,710
9300,1337,1203,1186,752,915,647
9400,1363,1185,1226,810,918,659
9500,1324,1205,1265,803,946,656
9600,1405,1213,1224,762,939,704
9700,1453,1257,1220,816,1001,699
9800,1445,1235,1294,874,978,712
9900,1480,1265,1262,808,986,687
10000,1480,1241,1269,821,967,729
10100,1473,1253,1294,846,1018,764
10200,1429,1256,1446,812,1030,715
10300,1542,1339,1275,867,1078,763
10400,1474,1283,1339,870,1104,752
10500,1619,1340,1341,917,1081,754
10600,1692,1307,1419,841,1088,755
10700,1504,1362,1308,877,1093,786
10800,1561,1355,1321,903,1100,757
10900,1594,1301,1435,906,1128,879
11000,1621,1395,1440,863,1109,727
11100,1591,1429,1414,937,1110,761
